Seq.,President,Party,Bg,Im,Int,IQ,L,WR,AC,EAb,LA,CAb,OA,PL,RC,CAp,HE,EAp,DA,FPA,AM,PV,O
1,George Washington,Independent,6,6,3,12,1,5,3,3,3,11,3,18,3,1,4,1,4,2,1,3,3
2,John Adams,Federalist,5,16,5,4,26,20,35,23,23,12,15,31,33,8,15,17,18,17,20,14,16
3,Thomas Jefferson,Democratic-Republican,7,4,20,2,5,8,14,7,6,5,5,4,5,11,20,7,6,10,8,7,5
4,James Madison,Democratic-Republican,4,7,9,3,13,15,11,12,18,8,9,10,10,14,19,11,13,20,11,11,10
5,James Monroe,Democratic-Republican,13,15,16,21,8,14,7,13,14,15,16,17,9,15,12,13,9,6,6,12,12
6,John Quincy Adams,Democratic-Republican,2,11,7,5,25,19,28,24,21,13,17,29,35,17,13,18,20,15,13,18,17
7,Andrew Jackson,Democratic,38,17,37,32,6,4,41,18,11,20,22,5,21,35,30,26,22,29,27,26,23
8,Martin Van Buren,Democratic,22,24,30,25,37,28,20,29,26,27,29,15,30,27,36,27,30,25,25,29,29
9,William Henry Harrison,Whig,32,39,29,34,45,40,38,38,31,36,38,38,41,42,42,41,41,42,37,39,40
10,John Tyler,Independent,35,37,39,36,31,33,42,40,40,33,40,43,43,40,37,39,36,27,36,37,39
11,James K. Polk,Democratic,26,14,28,23,9,7,22,10,12,17,14,14,11,32,18,21,15,9,10,17,15
12,Zachary Taylor,Whig,40,29,25,38,38,30,33,35,28,39,33,39,36,37,29,34,31,35,23,32,36
13,Millard Fillmore,Whig,42,38,35,39,28,36,31,39,39,38,39,41,39,39,31,36,37,37,34,40,38
14,Franklin Pierce,Democratic,41,41,38,40,39,41,39,41,41,40,41,42,40,41,40,40,40,38,39,41,41
15,James Buchanan,Democratic,37,45,41,42,43,45,43,43,44,44,45,44,44,44,43,42,45,44,45,45,44
16,Abraham Lincoln,Republican,29,1,1,1,21,1,1,1,2,1,1,2,4,3,2,3,1,4,2,1,2
17,Andrew Johnson,Democratic,44,44,42,44,42,39,45,45,45,45,44,45,45,45,44,44,44,43,44,43,45
18,Ulysses S. Grant,Republican,31,23,18,24,19,16,16,22,13,19,20,22,16,20,23,38,17,22,31,16,21
19,Rutherford B. Hayes,Republican,29,31,32,29,20,37,23,32,32,31,31,30,26,22,28,23,32,33,19,30,31
20,James A. Garfield,Republican,25,25,22,20,41,30,25,26,24,21,24,26,19,31,24,29,29,30,21,27,27
21,Chester A. Arthur,Republican,39,34,36,37,16,34,29,34,36,34,36,35,28,32,27,33,28,34,22,34,33
22/24,Grover Cleveland,Democratic,34,28,23,26,22,29,27,20,20,23,27,20,23,25,32,23,26,24,24,24,26
23,Benjamin Harrison,Republican,27,32,33,33,29,35,33,36,34,32,34,36,29,28,33,31,35,32,28,31,34
25,William McKinley,Republican,23,26,26,28,33,25,26,15,19,22,18,11,14,24,16,19,23,11,14,21,22
26,Theodore Roosevelt,Republican,3,3,10,6,2,3,18,4,4,4,4,7,7,6,3,5,5,5,5,4,4
27,William Howard Taft,Republican,10,30,11,14,30,38,19,27,33,25,28,34,24,19,17,25,24,28,26,25,25
28,Woodrow Wilson,Democratic,9,9,21,8,15,11,37,9,17,10,13,8,13,16,11,15,11,13,30,15,13
29,Warren G. Harding,Republican,43,42,43,43,35,43,36,42,42,42,42,40,34,38,35,43,39,40,40,42,42
30,Calvin Coolidge,Republican,33,40,19,31,12,42,30,33,38,41,35,27,25,29,25,35,38,36,18,33,32
31,Herbert Hoover,Republican,14,36,15,15,44,44,40,28,37,29,32,33,38,30,45,32,42,31,42,38,37
32,Franklin D. Roosevelt,Democratic,1,2,14,10,6,2,2,2,1,2,2,1,2,2,1,2,2,1,4,2,1
33,Harry S. Truman,Democratic,28,13,8,19,11,9,13,8,8,14,10,12,15,12,7,9,8,3,7,5,7
34,Dwight D. Eisenhower,Republican,11,20,4,16,4,18,5,5,5,18,7,9,6,5,6,12,7,7,3,6,6
35,John F. Kennedy,Democratic,12,5,27,12,27,10,8,14,7,3,12,16,12,13,9,4,14,12,15,10,9
36,Lyndon B. Johnson,Democratic,16,10,31,18,18,6,6,6,9,16,6,3,1,4,8,6,3,39,35,9,8
37,Richard Nixon,Republican,17,21,44,17,36,12,21,25,27,26,25,23,32,26,22,30,16,14,41,36,28
38,Gerald Ford,Republican,24,33,13,30,32,32,15,30,30,35,30,28,20,23,38,22,33,26,29,28,30
39,Jimmy Carter,Democratic,21,19,2,11,40,26,24,31,29,24,26,37,37,18,34,16,25,23,32,23,24
40,Ronald Reagan,Republican,36,18,24,35,3,13,17,19,10,7,21,6,8,21,21,28,21,16,17,19,18
41,George H. W. Bush,Republican,8,27,17,22,24,27,12,17,22,28,19,24,17,36,26,20,27,8,12,22,20
42,Bill Clinton,Democratic,19,12,40,9,10,17,4,16,16,9,11,13,18,7,5,14,12,18,33,13,14
43,George W. Bush,Republican,20,35,34,41,23,22,32,37,35,37,37,21,22,34,39,37,34,41,38,35,35
44,Barack Obama,Democratic,18,7,6,7,14,21,10,11,15,6,8,19,27,9,10,8,10,19,9,8,11
45,Donald Trump,Republican,45,43,45,45,17,23,44,44,43,43,43,32,42,43,41,45,43,45,43,44,43
46,Joe Biden,Democratic,15,22,12,27,34,24,9,21,25,30,23,25,31,10,14,10,19,21,16,20,19
